model,mode,pipeline,n,n_failed_global,requirement_alignment_avg,requirement_alignment_sd,requirement_alignment_se,target_specificity_avg,target_specificity_sd,target_specificity_se,evidence_grounding_avg,evidence_grounding_sd,evidence_grounding_se,executability_avg,executability_sd,executability_se,gherkin_quality_avg,gherkin_quality_sd,gherkin_quality_se,coverage_avg,coverage_sd,coverage_se,overall_score_avg,overall_score_sd,overall_score_se,generic_rate,drift_rate
claude-haiku-4-5-20251001,graph,full,30,0,4.3333,1.0933,0.1996,3.9667,1.4499,0.2647,4.0667,1.4126,0.2579,4.3333,0.9942,0.1815,4.6333,0.6687,0.1221,3.2,1.0635,0.1942,4.0889,1.0665,0.1947,0.3,0.0
claude-haiku-4-5-20251001,hybrid,full,30,0,4.8333,0.5307,0.0969,4.3667,0.8087,0.1477,4.6333,0.7184,0.1312,4.7333,0.4498,0.0821,4.8667,0.3457,0.0631,3.4667,0.7761,0.1417,4.4833,0.492,0.0898,0.0667,0.0
claude-haiku-4-5-20251001,vector,full,30,0,4.4333,0.9714,0.1774,4.0333,1.3257,0.242,4.2333,1.3047,0.2382,4.2667,0.9072,0.1656,4.5667,0.7279,0.1329,3.2333,1.1351,0.2072,4.1278,1.0092,0.1843,0.2667,0.0
gpt-4o-mini,graph,full,29,0,4.0345,1.3491,0.2505,3.5172,1.4789,0.2746,3.6897,1.4418,0.2677,4.3448,0.9364,0.1739,4.5172,0.7847,0.1457,2.4483,0.9851,0.1829,3.7586,1.0797,0.2005,0.4483,0.0
gpt-4o-mini,hybrid,full,30,0,3.9,1.4704,0.2685,3.2667,1.6174,0.2953,3.6,1.6103,0.294,3.9,1.0619,0.1939,4.2667,0.8683,0.1585,2.4333,1.04,0.1899,3.5611,1.2212,0.223,0.4667,0.0333
gpt-4o-mini,vector,full,29,0,3.6207,1.3993,0.2598,2.9655,1.7005,0.3158,3.3448,1.5647,0.2906,3.4483,1.298,0.241,3.8621,0.9901,0.1839,2.2759,1.1618,0.2157,3.2529,1.3105,0.2434,0.5517,0.0
