model,mode,pipeline,n,n_failed_global,requirement_alignment_avg,requirement_alignment_sd,requirement_alignment_se,target_specificity_avg,target_specificity_sd,target_specificity_se,evidence_grounding_avg,evidence_grounding_sd,evidence_grounding_se,executability_avg,executability_sd,executability_se,gherkin_quality_avg,gherkin_quality_sd,gherkin_quality_se,coverage_avg,coverage_sd,coverage_se,overall_score_avg,overall_score_sd,overall_score_se,generic_rate,drift_rate
claude-haiku-4-5-20251001,graph,full,320,0,5.0,0.0,0.0,4.575,0.6534,0.0365,4.9031,0.3359,0.0188,5.0,0.0,0.0,5.0,0.0,0.0,4.4,0.6204,0.0347,4.813,0.2379,0.0133,0.0,0.0
claude-haiku-4-5-20251001,hybrid,full,320,0,5.0,0.0,0.0,4.6719,0.5779,0.0323,4.9406,0.2736,0.0153,4.9906,0.0965,0.0054,5.0,0.0,0.0,4.5438,0.5748,0.0321,4.8578,0.2132,0.0119,0.0,0.0
claude-haiku-4-5-20251001,vector,full,320,0,5.0,0.0,0.0,4.7594,0.5442,0.0304,4.9594,0.2654,0.0148,5.0,0.0,0.0,5.0,0.0,0.0,4.6156,0.5918,0.0331,4.8891,0.2043,0.0114,0.0,0.0
gpt-4o-mini,graph,full,317,0,4.8864,0.4901,0.0275,3.4984,0.8555,0.048,4.1987,0.8466,0.0475,4.8297,0.393,0.0221,5.0,0.0,0.0,3.5363,0.7565,0.0425,4.3249,0.4353,0.0244,0.0379,0.0
gpt-4o-mini,hybrid,full,312,0,4.9936,0.1132,0.0064,3.7628,0.901,0.051,4.609,0.6423,0.0364,4.9167,0.2992,0.0169,5.0,0.0,0.0,3.7596,0.7795,0.0441,4.5069,0.368,0.0208,0.0064,0.0
gpt-4o-mini,vector,full,300,0,4.9333,0.4276,0.0247,3.96,0.9738,0.0562,4.5267,0.7733,0.0446,4.8533,0.3903,0.0225,4.99,0.1289,0.0074,3.8967,0.8767,0.0506,4.5267,0.4798,0.0277,0.0067,0.0
