model,mode,pipeline,n,n_failed_global,requirement_alignment_avg,requirement_alignment_sd,requirement_alignment_se,target_specificity_avg,target_specificity_sd,target_specificity_se,evidence_grounding_avg,evidence_grounding_sd,evidence_grounding_se,executability_avg,executability_sd,executability_se,gherkin_quality_avg,gherkin_quality_sd,gherkin_quality_se,coverage_avg,coverage_sd,coverage_se,overall_score_avg,overall_score_sd,overall_score_se,generic_rate,drift_rate
claude-haiku-4-5-20251001,graph,full,30,0,5.0,0.0,0.0,4.5333,0.7761,0.1417,4.9,0.3051,0.0557,5.0,0.0,0.0,5.0,0.0,0.0,4.3333,0.7112,0.1298,4.7944,0.2687,0.0491,0.0,0.0
claude-haiku-4-5-20251001,hybrid,full,30,0,5.0,0.0,0.0,4.8,0.5509,0.1006,4.9333,0.2537,0.0463,5.0,0.0,0.0,5.0,0.0,0.0,4.2,0.5509,0.1006,4.8222,0.2002,0.0366,0.0,0.0
claude-haiku-4-5-20251001,vector,full,30,0,5.0,0.0,0.0,4.7,0.4661,0.0851,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,4.3,0.4661,0.0851,4.8333,0.1313,0.024,0.0,0.0
gpt-4o-mini,graph,full,29,0,4.8621,0.5158,0.0958,3.7931,1.0135,0.1882,4.2414,1.0575,0.1964,4.9655,0.1857,0.0345,5.0,0.0,0.0,3.5517,0.7361,0.1367,4.4023,0.5089,0.0945,0.069,0.0
gpt-4o-mini,hybrid,full,30,0,5.0,0.0,0.0,4.2667,0.8683,0.1585,4.8667,0.3457,0.0631,5.0,0.0,0.0,5.0,0.0,0.0,4.0,0.6948,0.1269,4.6889,0.2827,0.0516,0.0,0.0
gpt-4o-mini,vector,full,29,0,5.0,0.0,0.0,4.2069,0.9776,0.1815,4.3448,0.8975,0.1667,4.7586,0.4355,0.0809,5.0,0.0,0.0,3.8276,0.7592,0.141,4.523,0.4771,0.0886,0.0,0.0
