model,mode,pipeline,n,n_failed_global,requirement_alignment_avg,requirement_alignment_sd,requirement_alignment_se,target_specificity_avg,target_specificity_sd,target_specificity_se,evidence_grounding_avg,evidence_grounding_sd,evidence_grounding_se,executability_avg,executability_sd,executability_se,gherkin_quality_avg,gherkin_quality_sd,gherkin_quality_se,coverage_avg,coverage_sd,coverage_se,overall_score_avg,overall_score_sd,overall_score_se,generic_rate,drift_rate
claude-haiku-4-5-20251001,graph,full,10,0,5.0,0.0,0.0,4.4,0.6992,0.2211,4.9,0.3162,0.1,4.7,0.483,0.1528,4.9,0.3162,0.1,3.9,0.7379,0.2333,4.6333,0.3315,0.1048,0.0,0.0
claude-haiku-4-5-20251001,hybrid,full,10,0,4.8,0.6325,0.2,4.1,0.7379,0.2333,4.7,0.6749,0.2134,4.1,0.7379,0.2333,4.7,0.6749,0.2134,3.3,0.6749,0.2134,4.2833,0.6189,0.1957,0.1,0.0
claude-haiku-4-5-20251001,vector,full,10,0,4.8,0.6325,0.2,4.0,1.0541,0.3333,4.6,0.6992,0.2211,4.2,1.0328,0.3266,4.6,0.6992,0.2211,3.4,0.8433,0.2667,4.2667,0.7503,0.2373,0.2,0.0
gpt-4o-mini,graph,full,10,0,3.3,1.3375,0.423,2.3,1.3375,0.423,2.8,1.4757,0.4667,3.3,1.0593,0.335,3.7,0.9487,0.3,2.0,0.9428,0.2981,2.9,1.1144,0.3524,0.8,0.0
gpt-4o-mini,hybrid,full,10,0,4.0,1.4142,0.4472,2.7,0.9487,0.3,3.6,1.1738,0.3712,2.9,0.5676,0.1795,3.8,0.6325,0.2,2.3,0.6749,0.2134,3.2167,0.8167,0.2583,0.6,0.0
gpt-4o-mini,vector,full,10,0,3.9,1.2867,0.4069,2.7,1.1595,0.3667,3.7,1.1595,0.3667,3.3,0.483,0.1528,3.7,0.6749,0.2134,2.6,1.1738,0.3712,3.3167,0.9278,0.2934,0.5,0.0
