model,mode,pipeline,n,n_failed_global,requirement_alignment_avg,requirement_alignment_sd,requirement_alignment_se,target_specificity_avg,target_specificity_sd,target_specificity_se,evidence_grounding_avg,evidence_grounding_sd,evidence_grounding_se,executability_avg,executability_sd,executability_se,gherkin_quality_avg,gherkin_quality_sd,gherkin_quality_se,coverage_avg,coverage_sd,coverage_se,overall_score_avg,overall_score_sd,overall_score_se,generic_rate,drift_rate
claude-haiku-4-5-20251001,graph,full,320,0,4.7031,0.7231,0.0404,3.9781,1.0724,0.0599,4.2594,1.0437,0.0583,4.1656,0.8892,0.0497,4.575,0.6582,0.0368,3.4469,0.932,0.0521,4.188,0.7816,0.0437,0.1531,0.0
claude-haiku-4-5-20251001,hybrid,full,320,0,4.6969,0.7503,0.0419,3.9031,1.0171,0.0569,4.3875,0.9952,0.0556,4.15,0.8052,0.045,4.5469,0.6608,0.0369,3.3969,0.9038,0.0505,4.1802,0.748,0.0418,0.1562,0.0
claude-haiku-4-5-20251001,vector,full,320,0,4.6781,0.7835,0.0438,3.9688,1.0967,0.0613,4.3688,1.0571,0.0591,4.1344,0.855,0.0478,4.575,0.6486,0.0363,3.3531,0.9553,0.0534,4.1797,0.7878,0.044,0.1719,0.0
gpt-4o-mini,graph,full,317,0,3.2461,1.2985,0.0729,2.3691,1.3094,0.0735,2.6562,1.3957,0.0784,3.041,1.0471,0.0588,3.6151,0.8806,0.0495,1.9117,0.9201,0.0517,2.8065,1.0358,0.0582,0.7476,0.0189
gpt-4o-mini,hybrid,full,312,0,3.3654,1.3894,0.0787,2.4776,1.4276,0.0808,2.8494,1.5002,0.0849,3.1346,1.0883,0.0616,3.6538,0.9154,0.0518,2.0224,1.0157,0.0575,2.9172,1.1451,0.0648,0.6699,0.0064
gpt-4o-mini,vector,full,300,0,3.2333,1.4718,0.085,2.59,1.6261,0.0939,2.8133,1.6636,0.0961,3.3,1.2089,0.0698,3.73,0.9799,0.0566,2.0467,1.2368,0.0714,2.9522,1.2989,0.075,0.6433,0.0033
