model,mode,pipeline,n,n_failed_global,requirement_alignment_avg,requirement_alignment_sd,requirement_alignment_se,target_specificity_avg,target_specificity_sd,target_specificity_se,evidence_grounding_avg,evidence_grounding_sd,evidence_grounding_se,executability_avg,executability_sd,executability_se,gherkin_quality_avg,gherkin_quality_sd,gherkin_quality_se,coverage_avg,coverage_sd,coverage_se,overall_score_avg,overall_score_sd,overall_score_se,generic_rate,drift_rate
claude-haiku-4-5-20251001,graph,full,100,0,4.92,0.3939,0.0394,4.15,1.0188,0.1019,4.54,0.881,0.0881,4.85,0.5,0.05,4.97,0.1714,0.0171,3.45,0.8689,0.0869,4.48,0.4484,0.0448,0.27,0.0
claude-haiku-4-5-20251001,hybrid,full,100,0,4.96,0.2814,0.0281,4.22,1.0971,0.1097,4.25,1.0481,0.1048,4.92,0.3939,0.0394,4.99,0.1,0.01,3.47,1.0392,0.1039,4.4683,0.5085,0.0508,0.24,0.0
claude-haiku-4-5-20251001,vector,full,100,0,4.91,0.3786,0.0379,4.29,1.1037,0.1104,4.48,0.9998,0.1,4.78,0.7599,0.076,4.95,0.2973,0.0297,3.67,1.1464,0.1146,4.5133,0.6226,0.0623,0.2,0.0
gpt-4o-mini,graph,full,96,0,4.5417,0.9615,0.0981,2.9583,1.5955,0.1628,3.6042,1.3953,0.1424,3.9271,1.4956,0.1526,4.7292,0.6566,0.067,2.3125,1.1726,0.1197,3.6788,0.9889,0.1009,0.5625,0.0104
gpt-4o-mini,hybrid,full,100,0,4.31,1.3461,0.1346,2.77,1.5032,0.1503,3.46,1.4172,0.1417,4.26,1.2029,0.1203,4.8,0.5685,0.0569,2.25,1.2008,0.1201,3.6417,0.8705,0.0871,0.58,0.11
gpt-4o-mini,vector,full,99,0,4.3434,1.2135,0.122,3.4545,1.3648,0.1372,3.6667,1.5908,0.1599,4.4747,0.873,0.0877,4.9091,0.3526,0.0354,2.6667,1.2778,0.1284,3.9192,0.9105,0.0915,0.3434,0.0909
