model,mode,pipeline,n,n_failed_global,requirement_alignment_avg,requirement_alignment_sd,requirement_alignment_se,target_specificity_avg,target_specificity_sd,target_specificity_se,evidence_grounding_avg,evidence_grounding_sd,evidence_grounding_se,executability_avg,executability_sd,executability_se,gherkin_quality_avg,gherkin_quality_sd,gherkin_quality_se,coverage_avg,coverage_sd,coverage_se,overall_score_avg,overall_score_sd,overall_score_se,generic_rate,drift_rate
claude-haiku-4-5-20251001,graph,full,650,0,4.9169,0.3876,0.0152,4.1969,1.0391,0.0408,4.4415,0.9291,0.0364,4.7892,0.6546,0.0257,4.9738,0.1864,0.0073,3.4246,0.9606,0.0377,4.4572,0.5253,0.0206,0.2446,0.0031
claude-haiku-4-5-20251001,hybrid,full,650,0,4.8815,0.4932,0.0193,4.2754,1.0173,0.0399,4.4477,0.9637,0.0378,4.8846,0.4516,0.0177,4.9815,0.1559,0.0061,3.5062,0.995,0.039,4.4961,0.5278,0.0207,0.1923,0.0031
claude-haiku-4-5-20251001,hybrid,no_resolution,650,0,4.9138,0.4176,0.0164,4.42,0.8745,0.0343,4.5508,0.8481,0.0333,4.8908,0.4286,0.0168,4.9846,0.1351,0.0053,3.7431,0.9405,0.0369,4.5838,0.4522,0.0177,0.1354,0.0046
claude-haiku-4-5-20251001,hybrid,no_retrieval,650,0,4.8415,0.5098,0.02,2.5385,1.241,0.0487,1.1415,0.6017,0.0236,3.92,1.5503,0.0608,4.9815,0.1746,0.0068,1.8815,1.059,0.0415,3.2174,0.5804,0.0228,0.6738,0.0
claude-haiku-4-5-20251001,vector,full,641,0,4.6349,1.019,0.0402,4.0749,1.1914,0.0471,4.3151,1.1662,0.0461,4.8315,0.5992,0.0237,4.9672,0.2176,0.0086,3.3573,1.1919,0.0471,4.3635,0.6819,0.0269,0.2184,0.0577
gpt-4o-mini,graph,full,639,0,4.4757,0.9979,0.0395,2.8732,1.4604,0.0578,3.4038,1.4075,0.0557,3.9562,1.4146,0.056,4.8044,0.5522,0.0218,2.1831,1.1634,0.046,3.6161,0.9092,0.036,0.6166,0.0282
gpt-4o-mini,hybrid,full,642,0,4.3006,1.2,0.0474,2.8801,1.506,0.0594,3.4829,1.4199,0.056,3.9829,1.4191,0.056,4.7336,0.6459,0.0255,2.2336,1.1643,0.046,3.6023,0.954,0.0377,0.567,0.0545
gpt-4o-mini,hybrid,no_resolution,648,0,4.4429,1.0636,0.0418,3.1111,1.4657,0.0576,3.7114,1.3488,0.053,4.2623,1.2391,0.0487,4.8302,0.5352,0.021,2.4599,1.1616,0.0456,3.803,0.8874,0.0349,0.5154,0.037
gpt-4o-mini,hybrid,no_retrieval,650,0,4.5954,0.7934,0.0311,2.4723,1.2888,0.0506,1.1692,0.5997,0.0235,4.0123,1.4874,0.0583,4.9738,0.217,0.0085,1.46,0.8667,0.034,3.1138,0.5858,0.023,0.7277,0.0062
gpt-4o-mini,vector,full,624,0,4.2019,1.317,0.0527,2.9583,1.5017,0.0601,3.3462,1.4997,0.06,4.0609,1.4072,0.0563,4.7452,0.6341,0.0254,2.3429,1.2749,0.051,3.6092,1.0137,0.0406,0.5032,0.1074
