model,mode,pipeline,n,n_failed_global,requirement_alignment_avg,requirement_alignment_sd,requirement_alignment_se,target_specificity_avg,target_specificity_sd,target_specificity_se,evidence_grounding_avg,evidence_grounding_sd,evidence_grounding_se,executability_avg,executability_sd,executability_se,gherkin_quality_avg,gherkin_quality_sd,gherkin_quality_se,coverage_avg,coverage_sd,coverage_se,overall_score_avg,overall_score_sd,overall_score_se,generic_rate,drift_rate
claude-haiku-4-5-20251001,graph,full,100,0,4.81,0.662,0.0662,4.15,1.1135,0.1114,4.59,0.8539,0.0854,4.86,0.5322,0.0532,4.98,0.1407,0.0141,3.4,0.9211,0.0921,4.465,0.5335,0.0534,0.18,0.02
claude-haiku-4-5-20251001,hybrid,full,100,0,4.96,0.3153,0.0315,4.27,0.9305,0.093,4.56,0.8566,0.0857,4.85,0.5573,0.0557,4.99,0.1,0.01,3.62,0.9077,0.0908,4.5417,0.4547,0.0455,0.15,0.0
claude-haiku-4-5-20251001,vector,full,100,0,4.81,0.5449,0.0545,4.39,0.9939,0.0994,4.5,0.9898,0.099,4.84,0.7067,0.0707,4.94,0.312,0.0312,3.69,1.1344,0.1134,4.5283,0.6449,0.0645,0.2,0.01
gpt-4o-mini,graph,full,95,0,4.5474,0.8845,0.0907,3.0632,1.5216,0.1561,3.4737,1.5426,0.1583,4.0947,1.4223,0.1459,4.7895,0.617,0.0633,2.3579,1.1932,0.1224,3.7211,0.9783,0.1004,0.5263,0.0211
gpt-4o-mini,hybrid,full,100,0,4.09,1.5115,0.1512,2.74,1.561,0.1561,3.58,1.4783,0.1478,4.07,1.3428,0.1343,4.81,0.5631,0.0563,2.21,1.2496,0.125,3.5833,0.9653,0.0965,0.57,0.14
gpt-4o-mini,vector,full,99,0,4.6263,0.9101,0.0915,3.6162,1.3148,0.1321,3.8788,1.3723,0.1379,4.5354,0.9616,0.0966,4.8586,0.4043,0.0406,2.9394,1.2274,0.1234,4.0757,0.8331,0.0837,0.3535,0.0303
