endpoint,role,contrast,tier,raw_diff,se,pooled_sd,std_effect,ci_lo,ci_hi,p,direction_vs_prereg,holm_p,verdict
requirement_alignment,formal-manipulation-check,C4 hybrid-vector | GPT,generator-specific,0.09869997603643024,0.1287299493672623,0.8168489183134139,0.12083014841988246,-0.15361072472340384,0.3510106767962643,0.4432473203176688,as-predicted,,
gherkin_quality,formal-manipulation-check,A1 graph-vector (avg),averaged,0.03198802150938519,0.01725734275341393,0.40535970029779034,0.07891268294772706,-0.0018363702873061133,0.0658124133060765,0.06379797577814683,as-predicted,,
gherkin_quality,formal-manipulation-check,A2 hybrid-vector (avg),averaged,0.0001104261631827471,0.0172494543844228,0.40535970029779034,0.00027241524774570457,-0.033698504430285936,0.033919356756651434,0.9948922019821733,as-predicted,,
gherkin_quality,formal-manipulation-check,C1 graph-vector | Haiku,generator-specific,0.005608824662475161,0.024265930350908033,0.40535970029779034,0.01383666076907679,-0.041952398825304583,0.05317004815025491,0.8172061202151939,as-predicted,,
gherkin_quality,formal-manipulation-check,C2 hybrid-vector | Haiku,generator-specific,0.013301132354783026,0.02426593035090804,0.40535970029779034,0.032813159139923345,-0.03426009113299673,0.06086235584256279,0.583595627010149,as-predicted,,
gherkin_quality,formal-manipulation-check,C3 graph-vector | GPT,generator-specific,0.05836721835629522,0.02454502841661126,0.40535970029779034,0.14398870512637732,0.01025896265973715,0.10647547405285329,0.017408478473234235,as-predicted,,
gherkin_quality,formal-manipulation-check,C4 hybrid-vector | GPT,generator-specific,-0.013080280028417532,0.024522886959573432,0.40535970029779034,-0.03226832864443194,-0.06114513846918146,0.034984578412346395,0.593763148620055,opposite,,
executability,formal-manipulation-check,A1 graph-vector (avg),averaged,-0.07757047492635347,0.03946491610968856,0.8609701572212097,-0.09009658961550188,-0.15492171050134304,-0.0002192393513638924,0.04935000213327845,opposite,,
executability,formal-manipulation-check,A2 hybrid-vector (avg),averaged,-0.017438345693689218,0.03944750497479616,0.8609701572212097,-0.020254297489208758,-0.0947554554442897,0.05987876405691126,0.6584424566042753,opposite,,
executability,formal-manipulation-check,C1 graph-vector | Haiku,generator-specific,-0.04851455824903342,0.055491194341465766,0.8609701572212097,-0.05634871062850153,-0.15727729915830632,0.060248182660239485,0.38196856633605125,opposite,,
executability,formal-manipulation-check,C2 hybrid-vector | Haiku,generator-specific,0.04687005713558221,0.05549119434146577,0.8609701572212097,0.05443865474600864,-0.061892683773690706,0.15563279804485514,0.39831212282649964,as-predicted,,
executability,formal-manipulation-check,C3 graph-vector | GPT,generator-specific,-0.10662639160367351,0.056132336701989596,0.8609701572212097,-0.12384446860250223,-0.21664577153957312,0.0033929883322260934,0.05749170441370777,opposite,,
executability,formal-manipulation-check,C4 hybrid-vector | GPT,generator-specific,-0.08174674852296065,0.056083561163486256,0.8609701572212097,-0.09494724972442616,-0.19167052840339371,0.028177031357472404,0.14495402725280182,opposite,,
