model,n_pairs,full_mean,no_resolution_mean,full_median,no_resolution_median,mean_paired_difference,median_paired_difference,positive_differences,negative_differences,zero_differences,wilcoxon_statistic,p_value_raw,p_value_holm
claude-haiku-4-5-20251001,65,0.42502503052503054,0.39914346764346764,0.45,0.425,0.02588156288156288,0.0,29,15,21,339.0,0.06859041439845787,0.08071284262119134
gpt-4o-mini,65,0.6173028083028083,0.547492673992674,0.6333333333333333,0.5333333333333333,0.06981013431013432,0.04444444444444451,37,20,8,568.5,0.04035642131059567,0.08071284262119134
