endpoint,role,term,coef,se,z,p,ci_lo,ci_hi,estimator,converged,re_var
target_specificity,primary,Intercept,4.0803935315115885,0.0736004279655754,55.43980713563353,0.0,3.9361366926990606,4.224650370324116,MixedLM(REML),True,0.20009046062719288
target_specificity,primary,"C(mode, Treatment('vector'))[T.graph]",0.11652954541150043,0.06811841309735084,1.7106908413289552,0.08713819930485611,-0.016982544259307203,0.25004163508230803,MixedLM(REML),True,0.20009046062719288
target_specificity,primary,"C(mode, Treatment('vector'))[T.hybrid]",0.19499108387303882,0.06811841309735084,2.8625312159631346,0.004202718593264043,0.061478994202231185,0.32850317354384645,MixedLM(REML),True,0.20009046062719288
target_specificity,primary,"C(model, Treatment('haiku'))[T.gpt]",-1.1155918803498834,0.06887930105933059,-16.19632985806499,0.0,-1.2505953104261713,-0.9805884502735955,MixedLM(REML),True,0.20009046062719288
target_specificity,primary,"C(mode, Treatment('vector'))[T.graph]:C(model, Treatment('haiku'))[T.gpt]",-0.2060363121697151,0.09689302045843394,-2.1264308945565635,0.033467397614095784,-0.3959466322682456,-0.01612599207118459,MixedLM(REML),True,0.20009046062719288
target_specificity,primary,"C(mode, Treatment('vector'))[T.hybrid]:C(model, Treatment('haiku'))[T.gpt]",-0.27526717247199867,0.09685034025114986,-2.8421910729294577,0.004480463004484347,-0.4650938393642524,-0.08544050557974495,MixedLM(REML),True,0.20009046062719288
evidence_grounding,primary,Intercept,4.322836242103779,0.06664027637679362,64.86822199928834,0.0,4.192221300405264,4.4534511838022945,MixedLM(REML),True,0.1445819064008569
evidence_grounding,primary,"C(mode, Treatment('vector'))[T.graph]",0.11870221943470052,0.06631710814660745,1.7899185105038828,0.07346701262209754,-0.011279312532650076,0.24868375140205112,MixedLM(REML),True,0.1445819064008569
evidence_grounding,primary,"C(mode, Treatment('vector'))[T.hybrid]",0.1248560655885468,0.06631710814660743,1.8827127581095229,0.05973930551839279,-0.005125466378803775,0.25483759755589735,MixedLM(REML),True,0.1445819064008569
evidence_grounding,primary,"C(model, Treatment('haiku'))[T.gpt]",-0.9651821320929157,0.06705544041612223,-14.393793048011295,0.0,-1.0966107953085154,-0.8337534688773162,MixedLM(REML),True,0.1445819064008569
evidence_grounding,primary,"C(mode, Treatment('vector'))[T.graph]:C(model, Treatment('haiku'))[T.gpt]",-0.0729272317275352,0.09432953105726727,-0.7731113566467454,0.43945648059061004,-0.257813112599779,0.11195864914470864,MixedLM(REML),True,0.1445819064008569
evidence_grounding,primary,"C(mode, Treatment('vector'))[T.hybrid]:C(model, Treatment('haiku'))[T.gpt]",-0.0013969005564928203,0.09428748671444717,-0.014815333456955754,0.9881795065945682,-0.1862003745168093,0.18340657340382363,MixedLM(REML),True,0.1445819064008569
coverage,primary,Intercept,3.362777726079436,0.05814845640895735,57.830902723007185,0.0,3.2488067515178796,3.4767487006409925,MixedLM(REML),True,0.10024784649241471
coverage,primary,"C(mode, Treatment('vector'))[T.graph]",0.061837658535953445,0.06040560348409021,1.0237073213288965,0.3059735362686875,-0.05655732429286336,0.18023264136477024,MixedLM(REML),True,0.10024784649241471
coverage,primary,"C(mode, Treatment('vector'))[T.hybrid]",0.1433761200744147,0.060405603484090215,2.373556620656517,0.01761769166531546,0.024981137245597876,0.2617711029032315,MixedLM(REML),True,0.10024784649241471
coverage,primary,"C(model, Treatment('haiku'))[T.gpt]",-1.0151517699090615,0.06107659669056317,-16.620961627122075,0.0,-1.1348618994225654,-0.8954416403955577,MixedLM(REML),True,0.10024784649241471
coverage,primary,"C(mode, Treatment('vector'))[T.graph]:C(model, Treatment('haiku'))[T.gpt]",-0.2265634414151648,0.085920419276389,-2.636898694434381,0.008366781430714898,-0.39496746319688725,-0.058159419633442344,MixedLM(REML),True,0.10024784649241471
coverage,primary,"C(mode, Treatment('vector'))[T.hybrid]:C(model, Treatment('haiku'))[T.gpt]",-0.2565184048846984,0.08588172153038652,-2.986880098740656,0.0028184023642683353,-0.424846579084256,-0.08819023068514081,MixedLM(REML),True,0.10024784649241471
coverage_score,objective-corroborating,Intercept,0.6235477335838893,0.02382217204138335,26.175099923746497,0.0,0.5768562763827779,0.6702391907850006,MixedLM(REML),True,0.03405564766678956
